test	status	suite	shard	exit	cycles	wall_s	perm	detail
test_bac_cl.TestGenerateFetchTargets::test_btb_hit_with_not_taken_prediction	FAIL	block-BAC	none			0		assert 4104 == 4100  +  where 4104 = FTQHeadEntry(ft_bb_idx=3, start_pc=4096, end_pc=4104, pred_target=4104, is_branch=True, branch_taken=False, bpu_history_valid=True).end_pc self = <BAC.test_bac_cl.TestGenerateFetchTargets object at 0x7f873becb8c0>      def test_btb_hit_with_not_taken_prediction(self):         """BTB hit + not-taken prediction -> FT ends at branch, PC advances."""         from o
test_bac_cl.TestGenerateFetchTargets::test_btb_hit_with_taken_prediction	FAIL	block-BAC	none			0		assert 4100 == 4096  +  where 4100 = FTQHeadEntry(ft_bb_idx=5, start_pc=4096, end_pc=4100, pred_target=8192, is_branch=True, branch_taken=True, bpu_history_valid=True).end_pc self = <BAC.test_bac_cl.TestGenerateFetchTargets object at 0x7f873bed4410>      def test_btb_hit_with_taken_prediction(self):         """BTB hit + taken prediction -> FT ends at branch, PC redirected."""         from o3.inter
test_bac_cl.TestGenerateFetchTargets::test_ftq_full_stops_generation	PASS	block-BAC	none			0		
test_bac_cl.TestGenerateFetchTargets::test_max_ft_per_cycle_limit	PASS	block-BAC	none			0		
test_bac_cl.TestGenerateFetchTargets::test_max_taken_pred_per_cycle_limit	PASS	block-BAC	none			0		
test_bac_cl.TestGenerateFetchTargets::test_no_btb_hit_creates_fallthrough_ft	PASS	block-BAC	none			0		
test_bac_cl.TestGlobalStageStatus::test_active_when_running	PASS	block-BAC	none			0		
test_bac_cl.TestGlobalStageStatus::test_active_when_squashing	PASS	block-BAC	none			0		
test_bac_cl.TestGlobalStageStatus::test_inactive_when_ftqfull	PASS	block-BAC	none			0		
test_bac_cl.TestGlobalStageStatus::test_inactive_when_idle	PASS	block-BAC	none			0		
test_bac_cl.TestRound3Gaps::test_case2_type_mismatch_calls_predict_with_tid	PASS	block-BAC	none			0		
test_bac_cl.TestRound3Gaps::test_commit_done_seqnum_no_update_when_zero	PASS	block-BAC	none			0		
test_bac_cl.TestRound3Gaps::test_commit_done_seqnum_triggers_bpu_update	PASS	block-BAC	none			0		
test_bac_cl.TestRound3Gaps::test_update_pre_decode_uses_bb_idx_lookup	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_resteer_ack_cleared_second_tick	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_resteer_ack_not_visible_immediately	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_resteer_ack_visible_after_tick	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_update_pc_flags_default_false_for_conditional	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_update_pc_forwards_is_call	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_update_pc_forwards_is_return	PASS	block-BAC	none			0		
test_bac_cl.TestRound3MediumGaps::test_update_pc_forwards_is_uncond	FAIL	block-BAC	none			0		AssertionError: StorageManager: alloc buffer full (cfg_max_allocs_per_cycle=2) self = <BAC.test_bac_cl.TestRound3MediumGaps object at 0x7f873bec4890>      def test_update_pc_forwards_is_uncond(self):         """GAP-5: updatePC forwards is_uncond to UpdatePreDecodeReq.              When branch_type=DirectUncond, updatepd_is_uncond must be True.         Also verifies IndirectUncond sets is_uncond=Tr
test_bac_cl.TestSpecCrossCheckGaps::test_squash_to_passes_tid	FAIL	block-BAC	none			0		assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestSpecCrossCheckGaps object at 0x7f873bed76b0>      def test_squash_to_passes_tid(self):         """GAP-2: _squash_bpu_histories must pass tid to bpu_squash_to.              Spec reference: Section 2.7.1 — bpu_squash_to requires tid         to correctly identify which thread's history to squash.         """         bac = make_bac()     
test_bac_cl.TestSpecCrossCheckGaps::test_squash_to_passes_tid_nonzero	FAIL	block-BAC	none			0		assert 0 == 1  +  where 0 = len([]) self = <BAC.test_bac_cl.TestSpecCrossCheckGaps object at 0x7f873bed42c0>      def test_squash_to_passes_tid_nonzero(self):         """GAP-2: _squash_bpu_histories passes correct tid for thread != 0."""         bac = make_bac(cfg_num_threads=2)         call_log = []              def mock_squash_to(req):             call_log.append(req)              bac.bpu_squash
test_bac_cl.TestSpecCrossCheckGaps::test_status_change_on_ftq_full_in_generation	PASS	block-BAC	none			0		
test_bac_cl.TestSpecCrossCheckGaps::test_update_bac_status_called_from_tick	PASS	block-BAC	none			0		
